barcode;price;due_data;stock
7468999189336;108.68;2028-02;4
7591619000589;321.1;2026-02;99
7591519000986;115.01;2026-08;961
7591257000552;87.96;2026-02;11965
7591519000993;118.65;2025-07;319
7593090001529;303.78; 2025-09;136
7598127001480;39.1;2024-10;364
675696259966;65.0;2026-04;198
7592616011028;99.97; 2026-01;474
7591585175021;137.27; 2029-02;342
7703763090358;178.33; 2026-01;579
7703763090341;152.17; 2026-01;1197
8436609070113;49.83; 2025-10;368
7598869000277;26.35; 2024-06;357
3701129801000;371.66; 2025-08;13
3401399373527;463.52;2025-07;5
7598431000193;264.07; 2026-05;19
7598431000186;264.07; 2026-05;41
7501384546526;628.52; 2026-10;36
7501384546540;1030.72; 2025-10;54
7591818210512;124.49; 2025-03;92
7591519051551;169.72;2025-08;1201
7597758000732;150.87;2025-05;600
7597758000749;194.49;2024-11;656
7598252000082;147.65;2026-08;120
8906005117564;72.8; 2026-05;1002
8906005118783;96.2; 2026-05;700
8908007037345;65.0;2026-02;300
7591020080453;152.02;2026-02;33
7591020008884;250.5;2027-02;54
7591585173447;70.97; 2025-11;1
7591585373458;334.96; 2026-11;760
7592454001557;99.24; 2026-02;762
7592454889650;173.99; 2026-02;2186
7592454003889;200.46; 2025-09;17
7592454003346;357.05; 2026-02;402
7750215028315;365.48; 2025-09;33
7590027002567;162.77; 2026-02;242
7592432901435;152.1;2026-01;213
7592432900148;294.93;2025-09;530
7592432901442;179.99;2026-01;307
7592432900155;384.81;2025-10;609
7592806123012;182.0;2025-07;185
7598677000131;68.25;2026-04;26
7592349001129;200.93; 2026-01;579
7592349722161;202.02; 2026-03;926
7861028101345;747.5;2025-06;61
7861028101352;816.4;2024-10;339
7861028101291;1042.6;2025-04;339
7758713058827;1406.6;2025-02;347
7592349001600;709.8; 2025-07;77
7591285000906;755.48;2026-12;15
7702123408949;1064.7; 2026-07;88
7702123409861;963.3; 2025-06;72
7591635000105;85.86; 2025-12;356
7591635000112;114.17; 2026-02;100
7591635000136;62.27; 2026-02;197
7591635000181;125.02; 2025-10;27
7702010381881;136.81;2025-11;16
7702010381256;66.05;2025-09;39
7591585114280;877.14; 2025-10;74
7591196002464;131.81; 2025-11;1916
745687143267;65.78; 2025-01;196
7591196006509;160.88;2026-10;140
7591619520643;247.0;2026-08;237
7594001101352;85.8;2026-03;2154
7594001101369;122.2;2026-03;1044
6930169708346;181.38;2026-09;1709
7598578000629;79.95;2025-11;1209
7591519002027;94.51; 2027-01;7240
7591519000979;129.49; 2027-01;892
7597758000152;213.73;2025-10;2599
7597758000145;119.64;2026-09;1600
6972718560043;124.8;2025-04;2009
675696259973;100.1; 2026-04;449
8906082150782;67.6; 2026-07;840
7591020007597;144.11;2028-01;209
7598828000874;47.0; 2025-11;552
7591585279460;100.46; 2027-09;8935
7598008000205;77.92; 2025-09;245
7594000020074;72.24; 2026-02;212
7703763700219;148.06; 2026-09;2949
7750215014363;240.2; 2026-10;91
7750215017562;137.53; 2026-07;117
7590027002451;142.19; 2026-01;912
7592368003371;630.24; 2025-07;5
17591616001517;430.25;2026-03;2
7592368000424;262.08; 2026-02;8
7594001455332;138.92;2025-03;16
7591243803167;188.5; 2025-10;54
7591585217660;151.91; 2025-08;224
7591285000739;796.87;2026-12;13
7592025101426;158.6;2026-10;35
8906075150874;319.8;2024-11;307
732064572864;70.53;2025-08;178
732064572857;59.15;2025-08;331
7598578000469;82.08;2025-09;1579
7598252001010;88.49;2026-06;405
7592616021010;125.84; 2027-01;1576
7591619505015;182.0;2027-06;615
7592806141016;169.0;2026-07;1114
7596347793567;94.85;2026-03;230
6942189211348;84.41;2026-09;1
7591020007825;293.72; 2026-10;154
7707355055930;445.11;2026-02;76
7707355055916;676.74;2025-08;249
7707355055923;620.96;2026-11;111
7592637005501;192.58; 2025-10;78
7592806133530;247.0;2027-01;1163
7592806122015;195.0;2028-08;2247
7592806133073;221.0;2028-11;2952
7592822002445;131.65;2026-07;10
7592822002421;89.58;2026-09;27
646824201102;347.35; 2025-12;7
7592616030012;87.59; 2028-08;341
7597297000316;47.52;2028-03;59
7591955000045;370.5;2027-07;434
7591955000052;715.0;2027-09;198
