barcode;price;due_data;stock
7750215014363;238.35;;4
7597758000152;116.65;2025-10-25;264
7591519002027;75.03;2026-01-25;2086
18906047595143;529.71;2024-05-25;94
7591519000979;96.38;;2
7597758000145;89.04;2025-06-25;761
7591585279460;91.37;2027-09-25;529
7597758000909;381.39;;45
7599028000602;35.9;2026-11-25;60
7591616001510;36.12;2026-03-25;60
7599028000299;48.94;2026-12-25;30
7591616000360;49.01;;29
7591585217660;145.27;2025-08-25;75
7598455000544;253.87;;48
8904180213248;352.66;2024-06-25;1148
732064572857;68.78;2025-08-25;88
732064572864;81.93;2025-08-25;20
7591619505015;180.6;2027-02-25;496
7592806141016;167.7;;816
7591020007825;292.48;2026-10-25;111
7707355055923;616.18;2026-08-25;28
7592806122015;193.5;2028-08-25;530
7592806133073;219.3;2028-11-25;406
7592806133530;245.1;2026-10-25;341
7596211000043;101.27;2025-10-25;30
7591955000045;367.65;2027-07-25;1
7591955000052;709.49;2027-06-25;76
7593090002397;262.22;2026-04-25;30
7593090000577;259.55;2025-01-25;18
7596211001071;190.65;2027-02-25;30
7596211001088;190.65;2025-11-25;104
7596211001095;190.65;2025-11-25;109
7594001101871;99.85;2025-07-25;62
7591818139004;138.6;;70
7591818513118;169.05;2027-10-25;72
7592601100218;137.63;2028-09-25;1150
7592601100201;179.06;2025-08-25;1369
7703712032002;116.05;2025-06-25;59
7592601301516;111.29;2026-11-25;509
7592601301509;111.29;2025-05-25;735
7592601100874;111.29;2026-07-25;537
7591243803600;139.32;2025-03-25;86
7591243803730;354.75;2025-07-25;84
7592946168560;242.8;2025-07-25;22
7591243804041;183.18;2025-11-25;200
7591243804164;199.95;2026-01-25;277
21281083285;101.91;2025-06-25;132
7591243804331;187.05;2025-09-25;85
7591243804287;118.68;2025-10-25;216
7703333007700;657.89;2026-03-25;5
8904306500870;710.54;2026-07-25;7
8908007037352;83.85;2026-02-25;118
7592454002400;254.27;2025-10-25;158
7750215023396;87.4;2027-09-25;38
7591020009331;280.78;2026-12-25;214
7591020003209;118.4;2027-11-25;170
18906047595655;99.68;2025-02-25;174
7591619517858;393.45;2026-03-25;32
7591619517865;432.15;2026-01-25;177
7599028000282;180.57;2026-11-25;9
7599028000619;49.54;2027-01-25;573
7597758000978;34.35;2025-06-25;128
7597758000985;42.38;2025-06-25;178
7598455000476;46.54;2026-03-25;24
7591519317695;116.02;2026-09-25;90
7591519000146;295.38;2026-09-25;262
7591519317664;153.57;2025-11-25;140
7591519317701;207.64;2025-07-25;148
7591519000122;525.21;2024-12-25;293
7591519316261;573.0;2025-11-25;138
7591519317671;135.58;2025-11-25;65
7591519316247;337.24;2025-11-25;78
7591519317688;195.74;2025-10-25;66
7591519316230;490.79;2025-09-25;177
7598455000490;80.92;;24
7598455000445;134.34;;72
8904210707167;173.76;;1
7598455000506;144.92;2026-03-25;6
8904210806204;159.82;2025-03-25;94
8904210806235;133.08;2025-07-25;107
7598455000056;168.91;2026-03-25;24
7598455000452;100.49;2026-04-25;24
7598455000483;157.08;2026-03-25;7
7598455000063;134.34;;24
7591585117137;185.29;2026-02-25;49
7591585217141;314.91;2026-03-25;25
7591585317179;70.95;2025-11-25;146
7591585217172;203.72;2025-11-25;622
7591585517166;77.7;2025-11-25;92
7591585217165;223.22;2025-10-25;422
7598455000469;115.3;;62
7598455000520;71.93;2026-03-25;67
685239846881;229.1;2025-12-25;44
685239846898;335.67;2025-04-25;18
7598455000513;196.75;2026-03-25;2
7592349001846;162.54;2025-11-25;30
7592349723618;98.61;2024-09-25;126
7592349001563;147.37;2025-11-25;109
7592349723557;108.36;2025-10-25;114
7592349001570;147.37;2026-02-25;377
7730969307690;258.0;2024-10-25;17
7467922682364;235.1;;224
7750215021927;183.2;2026-12-25;171
7467922682609;183.38;2024-10-25;20
8904306500894;604.1;2024-10-25;7
7591519009132;133.38;2026-09-25;150
7598176000205;83.57;;66
7591519009149;155.44;2027-02-25;111
7597758000091;51.6;2024-06-25;21
7591585377173;114.95;2025-11-25;135
7597758000114;107.99;2024-06-25;142
7591585377166;122.94;2026-03-25;220
7598981002487;183.38;2026-05-25;193
7597758000107;64.5;2024-06-25;37
7597758000121;129.67;;215
720524031143;86.69;2024-12-25;67
7591243805420;432.15;2025-11-25;154
7591585260055;311.33;2028-08-25;32
7591519000405;157.88;2025-11-25;119
7597467000535;29.52;2026-04-25;529
7703333007618;670.79;2025-05-25;110
7591818213124;146.63;2026-04-25;2001
7591808525114;122.59;2028-06-25;9
7598828000218;6547.73;;10
7591243807202;206.4;2026-01-25;213
7591821210615;157.38;2026-11-25;340
733739100153;434.67;2024-10-25;5
7591818213407;112.32;2026-06-25;112
7591818716755;112.33;2026-09-25;176
7591818000168;218.32;2026-05-25;36
7841134017815;211.6;2025-09-25;117
7591651896805;166.87;2025-10-25;147
7592601301585;185.6;2025-05-25;364
7592601301578;137.37;2026-10-25;125
7594000490204;283.8;;6
7594000850077;68.54;;245
7594000850985;84.66;;13
7591818132029;139.19;2025-09-25;72
7598578000537;92.97;2025-02-25;519
7598981000612;43.25;2025-12-25;138
6921875011400;465.39;2024-12-25;47
7598252101536;484.08;2025-03-25;17
8904180213088;467.38;;258
7592454889629;61.71;;80
7592090000150;459.02;;1
7596211000098;190.65;2025-11-25;111
7592454891356;119.9;2025-02-25;67
7592454891363;95.54;2025-10-25;316
7592454891370;95.54;2025-08-25;42
7591196000668;381.02;2025-01-25;1586
7591196002112;394.92;2025-11-25;200
7591196000644;246.19;2025-11-25;128
7591196006134;156.44;2025-03-25;144
7598252101529;406.58;2025-03-25;3
795853122237;456.97;2025-08-25;20
8904180213095;291.06;;246
7592601000372;118.63;2025-04-25;100
7592601000389;257.44;2025-11-25;358
7594001101451;176.73;;177
7598252101406;483.85;2025-05-25;9
8904306502157;683.22;2025-12-25;51
7597134002190;240.98;;43
7591821102071;348.3;2025-11-25;27
7591196003065;229.75;2025-11-25;38
733739100047;679.18;2028-03-25;43
7592601100751;116.8;2025-05-25;70
7592601100744;94.53;2025-10-25;71
7591519001105;294.12;2026-11-25;520
7591519008487;111.35;2027-02-25;357
7591243807554;348.3;2025-06-25;25
7592601100232;150.54;2027-06-25;53
7592601303558;235.11;2027-09-25;87
7592601100249;93.25;2024-08-25;106
7591020008303;394.96;2027-06-25;740
7591020008297;268.15;2027-10-25;649
7591020080620;460.94;2025-10-25;343
7591020080637;322.9;2028-07-25;301
7592454891189;134.43;2025-09-25;1
7591519000962;315.21;;4
7598981000438;66.77;;4
7598981002494;213.94;2026-05-25;167
7598981000445;32.92;;1
7591519001006;242.96;2026-08-25;60
7592454003360;87.95;;7
1890604759359;423.18;2024-07-25;17
7591020007559;74.51;2026-02-25;19
7598813000537;230.07;;47
7406076100034;91.34;;1
7591585112620;331.22;;23
7591585111661;359.0;2025-10-25;62
7591651001339;131.66;2025-10-25;24
7597467000511;29.11;2026-10-25;46
7597467000528;29.11;2025-10-25;190
7597467001662;158.67;2025-04-25;50
7598828000256;699.73;;10
724373531090;105.57;;35
781100195765;137.46;;37
724373531083;195.49;;48
7750215000632;182.03;2026-08-25;20
7591519051285;97.17;2027-01-25;118
7591519000290;56.41;2026-09-25;214
7598981002500;175.85;2026-04-25;166
7591519051292;136.95;2026-08-25;271
8904306503512;29.9;2025-04-01;36
756029628274;81.27;2025-02-25;42
7598578000063;85.6;2026-04-25;814
7591585278265;184.11;2029-02-25;527
7598813000520;204.68;2025-12-25;117
7597758000503;82.88;2025-04-25;30
7598176000243;141.74;2025-07-25;85
7598176000786;224.25;2025-11-25;24
7591020003179;142.74;2027-05-25;131
7591243807813;264.45;2026-01-25;250
7591243807820;212.85;2025-10-25;2785
8904306500917;956.5;2026-07-25;3
6942189530234;111.49;2025-06-25;88
18906047594627;211.6;2024-11-25;126
7591651930967;108.36;2025-09-25;101
7595751000711;516.66;;7
7591585111050;209.0;2026-08-25;58
7591585110114;495.14;2025-07-25;26
7591519007053;90.33;2025-09-25;121
7591585475640;81.82;2026-03-25;54
7591519001198;149.23;2026-01-25;186
7591585375643;146.35;2026-01-25;112
7598813000513;115.3;2025-12-25;89
7598176000267;109.48;2025-07-25;14
7591519007640;154.95;2025-09-25;135
7591519001204;273.18;2026-01-25;128
7597758000466;86.65;2024-06-25;172
7591519007633;75.32;2026-02-25;97
7591519001174;118.68;;40
8904306503529;21.87;;175
7591585475633;63.49;2025-11-25;291
7592616576619;95.06;;1
7593090002519;124.02;2025-10-25;31
7593090002502;101.47;;1
7592946006008;336.46;2025-10-25;41
7592946007104;336.46;2026-10-25;15
7597467000290;1057.79;2026-08-25;11
7597467000306;1163.57;2028-02-25;7
7597467000313;1163.57;2026-08-25;23
7597467000320;1163.57;2028-05-25;19
7598828001574;4464.94;;10
7702418004399;273.48;2024-11-25;16
7702418004986;323.79;2025-11-25;7
7593090002137;157.25;2026-06-25;1
7598981000667;117.56;2025-07-25;443
675696259997;110.94;;246
7598800000175;89.91;2025-03-25;2300
8904306503161;81.78;2026-07-25;28
7591519001273;258.55;2025-06-25;25
7597758000237;123.79;2025-07-25;104
7591585470225;201.97;2027-01-25;153
7703763784738;201.54;2025-05-25;252
7591519003208;184.24;2025-12-25;74
7591585270207;177.79;2027-03-25;241
6921875012650;160.86;2025-05-25;66
7598813000490;148.09;2025-12-25;85
6942189530210;115.38;2025-05-25;108
8904180251714;54.08;2024-06-25;1292
7598981001121;2351.01;2026-02-25;18
6921875010793;119.26;2025-06-25;116
7592803004086;301.86;2025-11-25;71
7591585172228;478.25;;93
730170649494;182.49;2025-07-25;116
7598981000681;642.3;2025-12-25;337
7598252101567;42.72;;10
7591818111123;76.43;2025-08-25;132
7591818116104;82.55;2025-10-25;484
7591818215050;96.68;;205
7593090001567;312.72;2025-05-25;112
7592946168324;336.46;2025-11-25;52
7597134000691;247.52;2026-01-25;114
7592946005704;336.46;2026-10-25;133
7597297000484;21.32;;24
3014260275938;153.86;;12
8904306502249;191.31;2025-04-01;12
7591585174598;73.4;2025-10-25;638
7598981000506;62.06;;62
7592454138239;85.37;;1241
7750215003299;81.32;2025-10-25;208
7598981002661;56.89;2026-06-25;413
7591585174581;37.84;2026-09-25;2361
7592601100706;80.5;2025-11-25;59
7592601100928;119.63;2025-11-25;481
7592601101147;172.16;2025-11-25;555
7592601100690;37.01;2026-02-25;212
75971243;33.24;2025-05-25;253
7597134002114;142.38;2026-01-25;6
733739108159;434.67;2024-10-25;9
7591061660317;108.42;;8
7591061640081;49.19;;1
7592601303640;737.01;2025-04-25;78
7599028000404;125.4;2025-10-25;22
890410708034;810.69;2024-12-25;58
7591619519227;606.3;2025-09-25;28
7592803004116;127.71;2027-11-25;198
7592803000118;145.77;2027-11-25;198
8904180212920;47.02;;751
8904306503185;81.78;2025-04-01;30
7591519007060;58.89;2026-04-25;97
7597297001412;144.72;2028-03-25;25
7597297001405;251.75;2028-03-25;20
7703763268863;545.46;;696
736372230249;43.54;2026-02-25;405
7597285000373;47.07;2026-05-25;528
7597758000077;34.24;2025-04-25;217
